polygon_number,point_order,longitude,latitude,tractce10,aland10,geom
46,775,-122.40901,37.81019,010100,776482,POINT (-122.409007999819 37.810189000522)
44,0,-122.41488,37.80354,010300,268266,POINT (-122.414876999774 37.8035420006628)
53,25,-122.49129,37.77985,047801,475941,POINT (-122.491285999849 37.7798540000621)
46,1094,-122.40984,37.80986,010100,776482,POINT (-122.40983900037 37.809864000823)
45,16,-122.42467,37.81049,010200,515572,POINT (-122.424672000013 37.8104889999674)
40,209,-122.38705,37.74768,980900,3586378,POINT (-122.387050999904 37.7476830003702)
42,44,-122.39856,37.80453,010500,683666,POINT (-122.398558999998 37.8045260001748)
46,91,-122.41817,37.80966,010100,776482,POINT (-122.418169000499 37.8096640005932)
47,149,-122.49964,37.7645,980300,4345271,POINT (-122.499641000232 37.7645010007207)
46,183,-122.41125,37.80892,010100,776482,POINT (-122.411248999742 37.8089200004577)
46,398,-122.41034,37.81137,010100,776482,POINT (-122.410335999906 37.8113669999871)
46,23,-122.41689,37.80521,010100,776482,POINT (-122.416887999881 37.8052120003336)
46,613,-122.40984,37.81068,010100,776482,POINT (-122.409836000231 37.8106839999667)
47,44,-122.47372,37.76897,980300,4345271,POINT (-122.473719000032 37.7689680007726)
46,1498,-122.40818,37.80878,010100,776482,POINT (-122.408176000122 37.8087760001123)
47,0,-122.45429,37.7729,980300,4345271,POINT (-122.454285000452 37.7728950002041)
47,9,-122.47656,37.76808,980300,4345271,POINT (-122.476562999883 37.7680790002457)
51,17,-122.40762,37.7968,061100,239862,POINT (-122.407620000563 37.7968040002045)
47,160,-122.50308,37.76434,980300,4345271,POINT (-122.503083999827 37.764343000629)
42,72,-122.39764,37.79984,010500,683666,POINT (-122.397641999978 37.7998420000084)
46,628,-122.4101,37.81062,010100,776482,POINT (-122.410095000484 37.8106230007509)
47,63,-122.47398,37.76754,980300,4345271,POINT (-122.473977000238 37.7675360003861)
46,1538,-122.40873,37.80885,010100,776482,POINT (-122.408729000443 37.8088509999737)
46,319,-122.41154,37.81015,010100,776482,POINT (-122.411543999856 37.810149000476)
45,16,-122.42054,37.80877,010200,515572,POINT (-122.420541000167 37.8087690006889)
